Trial 0
%time,field
1607570102141309488,-21.7020740509
%time,field
1607570102141309488,-0.309647262096
%time,field
1607570272615853183,0.310000002384
%time,field
1607570272615853183,-21.7019996643
Trial 1
%time,field
7222000000,-30.7113456726
%time,field
7222000000,31.3300266266
%time,field
134382000000,-31.3299999237
%time,field
134382000000,-30.7110004425
Trial 2
%time,field
6773000000,62.6933135986
%time,field
6773000000,51.1558456421
Trial 3
%time,field
7226000000,44.6382789612
%time,field
7226000000,-26.9100036621
%time,field
156125000000,26.9099998474
%time,field
156125000000,44.6380004883
Trial 4
%time,field
7069000000,29.8536472321
%time,field
7069000000,-8.29302310944
%time,field
94848000000,8.29300022125
%time,field
94848000000,29.8540000916
Trial 5
%time,field
7113000000,26.7823371887
%time,field
7113000000,-3.75268864632
%time,field
83550000000,3.75300002098
%time,field
83550000000,26.781999588
Trial 6
%time,field
7186000000,-26.7472934723
%time,field
7186000000,-13.4348659515
%time,field
94367000000,13.4350004196
%time,field
94367000000,-26.7469997406
Trial 7
%time,field
7133000000,5.40501308441
%time,field
7133000000,52.6049003601
%time,field
158581000000,-52.6049995422
%time,field
158581000000,5.40500020981
Trial 8
%time,field
6994000000,43.3304290771
%time,field
6994000000,-60.362411499
%time,field
220326000000,60.3619995117
%time,field
220326000000,43.3300018311
Trial 9
%time,field
7092000000,62.5762710571
%time,field
7092000000,49.849407196
%time,field
237089000000,-49.8489990234
%time,field
237089000000,62.5760002136
Trial 10
%time,field
7236000000,-27.5368614197
%time,field
7236000000,-6.02796173096
%time,field
89680000000,6.02799987793
%time,field
89680000000,-27.5370006561
Trial 11
%time,field
7381000000,-29.9466915131
%time,field
7381000000,34.3126144409
%time,field
139113000000,-34.3129997253
%time,field
139113000000,-29.9470005035
Trial 12
%time,field
7325000000,-49.5149459839
%time,field
7325000000,26.7553386688
%time,field
171062000000,-26.7549991608
%time,field
171062000000,-49.5149993896
Trial 13
%time,field
7255000000,-33.7117500305
%time,field
7255000000,-18.8967552185
%time,field
139582000000,18.8969993591
%time,field
139582000000,-33.7120018005
Trial 14
%time,field
7331000000,58.6133460999
%time,field
7331000000,21.954000473
%time,field
187324000000,-21.954000473
%time,field
187324000000,58.6129989624
Trial 15
%time,field
7255000000,34.6711349487
%time,field
7255000000,9.05690383911
%time,field
108887000000,-9.05700016022
%time,field
108887000000,34.6710014343
Trial 16
%time,field
7155000000,-54.6307678223
%time,field
7155000000,23.3172664642
Trial 17
%time,field
7192000000,59.0030937195
%time,field
7192000000,-43.4696426392
Trial 18
%time,field
7357000000,-38.5797729492
%time,field
7357000000,30.8198356628
%time,field
150688000000,-30.8199996948
%time,field
150688000000,-38.5800018311
Trial 19
%time,field
7369000000,-62.3114929199
%time,field
7369000000,-34.9152755737
%time,field
216325000000,34.9150009155
%time,field
216325000000,-62.311000824
Trial 20
%time,field
7192000000,31.6624660492
%time,field
7192000000,7.9188990593
%time,field
99557000000,-7.91900014877
%time,field
99557000000,31.6620006561
Trial 21
%time,field
7262000000,35.7615242004
%time,field
7262000000,-36.4593696594
%time,field
154426000000,36.4589996338
%time,field
154426000000,35.7620010376
Trial 22
%time,field
7182000000,-61.3172645569
%time,field
7182000000,-61.0665893555
Trial 23
Trial 24
%time,field
7008000000,-56.6869506836
%time,field
7008000000,13.0633306503
%time,field
176911000000,-13.0629997253
%time,field
176911000000,-56.6870002747
Trial 25
%time,field
7203000000,-24.9294986725
%time,field
7203000000,-20.6529178619
%time,field
101033000000,20.6529998779
%time,field
101033000000,-24.9290008545
Trial 26
%time,field
6888000000,-26.3190307617
%time,field
6888000000,-9.79533100128
%time,field
89650000000,9.79500007629
%time,field
89650000000,-26.3190002441
Trial 27
%time,field
7365000000,-58.9196052551
%time,field
7365000000,-16.5325546265
%time,field
185273000000,16.533000946
%time,field
185273000000,-58.9199981689
Trial 28
%time,field
7373000000,-21.2470741272
%time,field
7373000000,-15.582239151
%time,field
83833000000,15.5819997787
%time,field
83833000000,-21.2469997406
Trial 29
%time,field
7249000000,62.7678642273
%time,field
7249000000,49.5122032166
%time,field
237209000000,-49.5120010376
%time,field
237209000000,62.7680015564
Trial 30
%time,field
7353000000,53.0753326416
%time,field
7353000000,59.6272315979
%time,field
237118000000,-59.6269989014
%time,field
237118000000,53.0750007629
Trial 31
Trial 32
%time,field
7350000000,53.8568191528
%time,field
7350000000,21.830072403
%time,field
173808000000,-21.8299999237
%time,field
173808000000,53.8569984436
Trial 33
%time,field
7457000000,-56.1258811951
%time,field
7457000000,22.9392127991
%time,field
183675000000,-22.938999176
%time,field
183675000000,-56.1259994507
Trial 34
%time,field
7303000000,2.42035579681
%time,field
7303000000,42.2108345032
%time,field
128426000000,-42.2109985352
%time,field
128426000000,2.42000007629
Trial 35
%time,field
7264000000,-59.0121269226
%time,field
7264000000,24.21925354
%time,field
192089000000,-24.2189998627
%time,field
192089000000,-59.0120010376
Trial 36
%time,field
7412000000,-39.9040718079
%time,field
7412000000,21.5349826813
%time,field
139197000000,-21.5349998474
%time,field
139197000000,-39.9039993286
Trial 37
%time,field
7124000000,-35.234413147
%time,field
7124000000,20.1640090942
Trial 38
%time,field
7299000000,-40.4043769836
%time,field
7299000000,15.0903224945
%time,field
132950000000,-15.0900001526
%time,field
132950000000,-40.4039993286
Trial 39
%time,field
7389000000,-44.9259338379
%time,field
7389000000,19.2488555908
%time,field
149363000000,-19.2490005493
%time,field
149363000000,-44.9259986877
Trial 40
%time,field
6910000000,28.7160816193
%time,field
6910000000,-24.874584198
%time,field
115847000000,24.875
%time,field
115847000000,28.7159996033
Trial 41
%time,field
7386000000,29.0849246979
%time,field
7386000000,-33.092414856
%time,field
133349000000,33.091999054
%time,field
133349000000,29.0849990845
Trial 42
%time,field
7236000000,28.76512146
%time,field
7236000000,-27.2540206909
%time,field
121506000000,27.2539997101
%time,field
121506000000,28.7649993896
Trial 43
%time,field
7193000000,-7.68780231476
%time,field
7193000000,-61.2914047241
%time,field
184202000000,61.2910003662
%time,field
184202000000,-7.68800020218
